measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,val,upper,lower
"% Change in Number of Smokers, 1990-2019",38,Mongolia,2,Female,29,15+ years,2.194049884,3.278077141,1.289955502
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",38,Mongolia,2,Female,29,15+ years,0.444343593,0.889236763,0.076721802
"% Change in Number of Smokers, 1990-2019",38,Mongolia,3,Both,29,15+ years,1.304596755,1.480918302,1.142222855
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",38,Mongolia,3,Both,29,15+ years,0.123320801,0.201271247,0.054130671
"% Change in Number of Smokers, 1990-2019",39,Tajikistan,1,Male,29,15+ years,0.2048916,0.367400743,0.05432916
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",39,Tajikistan,1,Male,29,15+ years,-0.457905702,-0.394132401,-0.517358352
"% Change in Number of Smokers, 1990-2019",39,Tajikistan,2,Female,29,15+ years,0.268284008,0.875338208,-0.190799581
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",39,Tajikistan,2,Female,29,15+ years,-0.417235547,-0.150146009,-0.61727054
"% Change in Number of Smokers, 1990-2019",39,Tajikistan,3,Both,29,15+ years,0.20715067,0.358439689,0.063847452
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",39,Tajikistan,3,Both,29,15+ years,-0.451055527,-0.389812501,-0.508825388
"% Change in Number of Smokers, 1990-2019",40,Turkmenistan,1,Male,29,15+ years,-0.047881438,0.06832677,-0.156490492
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",40,Turkmenistan,1,Male,29,15+ years,-0.465040219,-0.403872586,-0.522032516
"% Change in Number of Smokers, 1990-2019",40,Turkmenistan,2,Female,29,15+ years,0.055994568,0.52695689,-0.309336774
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",40,Turkmenistan,2,Female,29,15+ years,-0.373998179,-0.099090172,-0.582945344
"% Change in Number of Smokers, 1990-2019",40,Turkmenistan,3,Both,29,15+ years,-0.038887383,0.077845667,-0.141048471
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",40,Turkmenistan,3,Both,29,15+ years,-0.43035294,-0.367389196,-0.487837226
"% Change in Number of Smokers, 1990-2019",41,Uzbekistan,1,Male,29,15+ years,1.898357077,2.295209662,1.502933689
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",41,Uzbekistan,1,Male,29,15+ years,0.363473012,0.535180298,0.195568814
"% Change in Number of Smokers, 1990-2019",41,Uzbekistan,2,Female,29,15+ years,2.070776558,3.58539562,1.023935728
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",41,Uzbekistan,2,Female,29,15+ years,0.478936719,1.169784581,-0.003349477
"% Change in Number of Smokers, 1990-2019",41,Uzbekistan,3,Both,29,15+ years,1.905638781,2.296238011,1.536953338
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",41,Uzbekistan,3,Both,29,15+ years,0.369758738,0.534061896,0.20641277
"% Change in Number of Smokers, 1990-2019",42,Central Europe,1,Male,29,15+ years,-0.253115407,-0.233683313,-0.271155543
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",42,Central Europe,1,Male,29,15+ years,-0.247031978,-0.228123499,-0.265247592
"% Change in Number of Smokers, 1990-2019",42,Central Europe,2,Female,29,15+ years,-0.122578937,-0.080825167,-0.165876365
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",42,Central Europe,2,Female,29,15+ years,-0.084691317,-0.039628927,-0.13018661
"% Change in Number of Smokers, 1990-2019",42,Central Europe,3,Both,29,15+ years,-0.204116967,-0.185025567,-0.222949813
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",42,Central Europe,3,Both,29,15+ years,-0.182545028,-0.161952255,-0.202950074
"% Change in Number of Smokers, 1990-2019",43,Albania,1,Male,29,15+ years,0.261219518,0.362255088,0.168222354
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",43,Albania,1,Male,29,15+ years,0.253826294,0.342620322,0.1647058
"% Change in Number of Smokers, 1990-2019",43,Albania,2,Female,29,15+ years,0.961704647,1.590095591,0.425604217
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",43,Albania,2,Female,29,15+ years,0.849607376,1.448569346,0.351031781
"% Change in Number of Smokers, 1990-2019",43,Albania,3,Both,29,15+ years,0.349478631,0.465161318,0.237631788
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",43,Albania,3,Both,29,15+ years,0.306538298,0.410108255,0.203987143
"% Change in Number of Smokers, 1990-2019",44,Bosnia and Herzegovina,1,Male,29,15+ years,-0.081834323,0.002239436,-0.162606714
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",44,Bosnia and Herzegovina,1,Male,29,15+ years,0.17509353,0.277039409,0.074895822
"% Change in Number of Smokers, 1990-2019",44,Bosnia and Herzegovina,2,Female,29,15+ years,0.088868635,0.315053777,-0.101246634
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",44,Bosnia and Herzegovina,2,Female,29,15+ years,0.411390795,0.70269471,0.160951878
"% Change in Number of Smokers, 1990-2019",44,Bosnia and Herzegovina,3,Both,29,15+ years,-0.022135694,0.075236465,-0.107214379
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",44,Bosnia and Herzegovina,3,Both,29,15+ years,0.259479528,0.379827746,0.148749697
"% Change in Number of Smokers, 1990-2019",45,Bulgaria,1,Male,29,15+ years,-0.354076394,-0.307785867,-0.399828754
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",45,Bulgaria,1,Male,29,15+ years,-0.203803235,-0.149420083,-0.260249334
"% Change in Number of Smokers, 1990-2019",45,Bulgaria,2,Female,29,15+ years,-0.36658034,-0.249769991,-0.462413345
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",45,Bulgaria,2,Female,29,15+ years,-0.162142432,-0.003996416,-0.295161988
"% Change in Number of Smokers, 1990-2019",45,Bulgaria,3,Both,29,15+ years,-0.360196182,-0.308138883,-0.409551757
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",45,Bulgaria,3,Both,29,15+ years,-0.184926233,-0.116677273,-0.250079045
"% Change in Number of Smokers, 1990-2019",46,Croatia,1,Male,29,15+ years,-0.277449747,-0.226969082,-0.328469558
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",46,Croatia,1,Male,29,15+ years,-0.176056148,-0.118217606,-0.232868629
"% Change in Number of Smokers, 1990-2019",46,Croatia,2,Female,29,15+ years,-0.234524914,-0.127662532,-0.337393997
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",46,Croatia,2,Female,29,15+ years,-0.116805434,0.007548207,-0.2345086
"% Change in Number of Smokers, 1990-2019",46,Croatia,3,Both,29,15+ years,-0.259129531,-0.205102931,-0.310355627
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",46,Croatia,3,Both,29,15+ years,-0.146326551,-0.084760078,-0.205608145
"% Change in Number of Smokers, 1990-2019",47,Czechia,1,Male,29,15+ years,-0.168242937,-0.102952391,-0.226087957
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",47,Czechia,1,Male,29,15+ years,-0.216976622,-0.159024933,-0.275050147
"% Change in Number of Smokers, 1990-2019",47,Czechia,2,Female,29,15+ years,-0.204424379,-0.098210374,-0.295431601
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",47,Czechia,2,Female,29,15+ years,-0.201959533,-0.096073626,-0.290613956
"% Change in Number of Smokers, 1990-2019",47,Czechia,3,Both,29,15+ years,-0.183820822,-0.128832621,-0.236744801
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",47,Czechia,3,Both,29,15+ years,-0.206971116,-0.152056018,-0.260549884
"% Change in Number of Smokers, 1990-2019",48,Hungary,1,Male,29,15+ years,-0.247980542,-0.195214343,-0.299290934
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",48,Hungary,1,Male,29,15+ years,-0.217209179,-0.155922045,-0.271904843
"% Change in Number of Smokers, 1990-2019",48,Hungary,2,Female,29,15+ years,-0.2352678,-0.128752811,-0.332854707
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",48,Hungary,2,Female,29,15+ years,-0.18441455,-0.063227368,-0.293958583
"% Change in Number of Smokers, 1990-2019",48,Hungary,3,Both,29,15+ years,-0.242929853,-0.191327013,-0.293639979
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",48,Hungary,3,Both,29,15+ years,-0.20062444,-0.141579383,-0.257160617
"% Change in Number of Smokers, 1990-2019",49,North Macedonia,1,Male,29,15+ years,0.215118057,0.309536966,0.12875677
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",49,North Macedonia,1,Male,29,15+ years,-0.022434464,0.054771946,-0.093092412
"% Change in Number of Smokers, 1990-2019",49,North Macedonia,2,Female,29,15+ years,0.215518741,0.454125883,-0.001365613
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",49,North Macedonia,2,Female,29,15+ years,0.043754863,0.251324903,-0.147014134
"% Change in Number of Smokers, 1990-2019",49,North Macedonia,3,Both,29,15+ years,0.212719599,0.320894766,0.110714329
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",49,North Macedonia,3,Both,29,15+ years,0.006163912,0.096582259,-0.079308536
"% Change in Number of Smokers, 1990-2019",50,Montenegro,1,Male,29,15+ years,0.018252839,0.110308841,-0.068569714
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",50,Montenegro,1,Male,29,15+ years,-0.083528873,-0.002937962,-0.160015106
"% Change in Number of Smokers, 1990-2019",50,Montenegro,2,Female,29,15+ years,0.10397096,0.312952581,-0.075413374
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",50,Montenegro,2,Female,29,15+ years,0.00505272,0.200486002,-0.157699398
"% Change in Number of Smokers, 1990-2019",50,Montenegro,3,Both,29,15+ years,0.054513885,0.154490891,-0.039052184
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",50,Montenegro,3,Both,29,15+ years,-0.044601718,0.042981569,-0.127586108
"% Change in Number of Smokers, 1990-2019",51,Poland,1,Male,29,15+ years,-0.338654606,-0.29959369,-0.372290843
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",51,Poland,1,Male,29,15+ years,-0.404933529,-0.371990406,-0.436131839
"% Change in Number of Smokers, 1990-2019",51,Poland,2,Female,29,15+ years,-0.106614518,-0.021410188,-0.193538812
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",51,Poland,2,Female,29,15+ years,-0.177549382,-0.091721863,-0.257697886
"% Change in Number of Smokers, 1990-2019",51,Poland,3,Both,29,15+ years,-0.254918616,-0.218801565,-0.290525468
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",51,Poland,3,Both,29,15+ years,-0.317981855,-0.283829958,-0.34939642
"% Change in Number of Smokers, 1990-2019",52,Romania,1,Male,29,15+ years,-0.305717019,-0.256238511,-0.35496426
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",52,Romania,1,Male,29,15+ years,-0.188201061,-0.12819692,-0.24731147
"% Change in Number of Smokers, 1990-2019",52,Romania,2,Female,29,15+ years,-0.107928063,0.02820077,-0.236111168
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",52,Romania,2,Female,29,15+ years,0.089140971,0.250670735,-0.058491591
"% Change in Number of Smokers, 1990-2019",52,Romania,3,Both,29,15+ years,-0.244258156,-0.195770313,-0.295895314
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",52,Romania,3,Both,29,15+ years,-0.098186939,-0.04161831,-0.157807803
"% Change in Number of Smokers, 1990-2019",53,Serbia,1,Male,29,15+ years,-0.111372554,-0.040952158,-0.178480053
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",53,Serbia,1,Male,29,15+ years,-0.063042264,0.013436969,-0.133791266
"% Change in Number of Smokers, 1990-2019",53,Serbia,2,Female,29,15+ years,0.114222208,0.292899799,-0.047681725
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",53,Serbia,2,Female,29,15+ years,0.202783689,0.398173551,0.02252293
"% Change in Number of Smokers, 1990-2019",53,Serbia,3,Both,29,15+ years,-0.015475001,0.06516677,-0.094262424
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",53,Serbia,3,Both,29,15+ years,0.051534908,0.139424308,-0.033983478
"% Change in Number of Smokers, 1990-2019",54,Slovakia,1,Male,29,15+ years,-0.125694266,-0.045760432,-0.201488913
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",54,Slovakia,1,Male,29,15+ years,-0.233264764,-0.162205354,-0.299733517
"% Change in Number of Smokers, 1990-2019",54,Slovakia,2,Female,29,15+ years,-0.105448868,0.101266,-0.272926021
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",54,Slovakia,2,Female,29,15+ years,-0.149313448,0.049418423,-0.314008369
"% Change in Number of Smokers, 1990-2019",54,Slovakia,3,Both,29,15+ years,-0.120181729,-0.033348257,-0.198544963
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",54,Slovakia,3,Both,29,15+ years,-0.199192909,-0.120576542,-0.272811651
"% Change in Number of Smokers, 1990-2019",55,Slovenia,1,Male,29,15+ years,-0.068694708,0.032102552,-0.153479312
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",55,Slovenia,1,Male,29,15+ years,-0.109774698,-0.014464051,-0.1911933
"% Change in Number of Smokers, 1990-2019",55,Slovenia,2,Female,29,15+ years,0.094806331,0.311202943,-0.102264841
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",55,Slovenia,2,Female,29,15+ years,0.090499269,0.30749212,-0.112785332
"% Change in Number of Smokers, 1990-2019",55,Slovenia,3,Both,29,15+ years,-0.004035206,0.095965421,-0.103444944
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",55,Slovenia,3,Both,29,15+ years,-0.026307077,0.072206132,-0.121098152
"% Change in Number of Smokers, 1990-2019",56,Eastern Europe,1,Male,29,15+ years,-0.198896269,-0.174995115,-0.224436262
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",56,Eastern Europe,1,Male,29,15+ years,-0.193741855,-0.168471769,-0.220046918
"% Change in Number of Smokers, 1990-2019",56,Eastern Europe,2,Female,29,15+ years,0.123145269,0.270986543,-0.006772015
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",56,Eastern Europe,2,Female,29,15+ years,0.159434237,0.313386255,0.022439079
"% Change in Number of Smokers, 1990-2019",56,Eastern Europe,3,Both,29,15+ years,-0.135054631,-0.1014665,-0.164520216
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",56,Eastern Europe,3,Both,29,15+ years,-0.114930377,-0.078904996,-0.147411253
"% Change in Number of Smokers, 1990-2019",57,Belarus,1,Male,29,15+ years,-0.057188763,0.009368049,-0.121416449
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",57,Belarus,1,Male,29,15+ years,-0.051483838,0.014227477,-0.117727215
"% Change in Number of Smokers, 1990-2019",57,Belarus,2,Female,29,15+ years,0.138045314,0.456166937,-0.122535765
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",57,Belarus,2,Female,29,15+ years,0.314563783,0.690615128,0.005699989
"% Change in Number of Smokers, 1990-2019",57,Belarus,3,Both,29,15+ years,-0.008316005,0.078845529,-0.091644841
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",57,Belarus,3,Both,29,15+ years,0.049775386,0.144473956,-0.040695372
"% Change in Number of Smokers, 1990-2019",58,Estonia,1,Male,29,15+ years,-0.361772853,-0.322866832,-0.397657772
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",58,Estonia,1,Male,29,15+ years,-0.282664223,-0.239410147,-0.325367968
"% Change in Number of Smokers, 1990-2019",58,Estonia,2,Female,29,15+ years,-0.262678433,-0.166399905,-0.357556947
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",58,Estonia,2,Female,29,15+ years,-0.129414177,-0.014198962,-0.24766916
"% Change in Number of Smokers, 1990-2019",58,Estonia,3,Both,29,15+ years,-0.327986369,-0.286327287,-0.362520484
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",58,Estonia,3,Both,29,15+ years,-0.219447578,-0.170507457,-0.264790003
"% Change in Number of Smokers, 1990-2019",59,Latvia,1,Male,29,15+ years,-0.353247023,-0.315485042,-0.386724155
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",59,Latvia,1,Male,29,15+ years,-0.128745388,-0.079752351,-0.174215617
"% Change in Number of Smokers, 1990-2019",59,Latvia,2,Female,29,15+ years,-0.324647085,-0.190158335,-0.437036696
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",59,Latvia,2,Female,29,15+ years,-0.033345389,0.154978064,-0.188380234
"% Change in Number of Smokers, 1990-2019",59,Latvia,3,Both,29,15+ years,-0.345468628,-0.302141045,-0.388593066
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",59,Latvia,3,Both,29,15+ years,-0.085945364,-0.023858803,-0.145467278
"% Change in Number of Smokers, 1990-2019",60,Lithuania,1,Male,29,15+ years,-0.352404885,-0.309752442,-0.39401427
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",60,Lithuania,1,Male,29,15+ years,-0.185445298,-0.128899633,-0.238944336
"% Change in Number of Smokers, 1990-2019",60,Lithuania,2,Female,29,15+ years,-0.065607696,0.082419455,-0.19448798
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",60,Lithuania,2,Female,29,15+ years,0.288557227,0.503675428,0.103635696
"% Change in Number of Smokers, 1990-2019",60,Lithuania,3,Both,29,15+ years,-0.277285182,-0.22995449,-0.32246624
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",60,Lithuania,3,Both,29,15+ years,-0.05282896,0.012118806,-0.116490851
"% Change in Number of Smokers, 1990-2019",61,Republic of Moldova,1,Male,29,15+ years,-0.003738261,0.086565877,-0.082904621
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",61,Republic of Moldova,1,Male,29,15+ years,0.03884107,0.130424692,-0.042445674
"% Change in Number of Smokers, 1990-2019",61,Republic of Moldova,2,Female,29,15+ years,-0.034280024,0.292264598,-0.274449362
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",61,Republic of Moldova,2,Female,29,15+ years,0.117295411,0.477448763,-0.171799604
"% Change in Number of Smokers, 1990-2019",61,Republic of Moldova,3,Both,29,15+ years,-0.010212412,0.080889565,-0.092945581
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",61,Republic of Moldova,3,Both,29,15+ years,0.075509334,0.174959576,-0.014902244
"% Change in Number of Smokers, 1990-2019",62,Russian Federation,1,Male,29,15+ years,-0.147968798,-0.109942382,-0.184031502
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",62,Russian Federation,1,Male,29,15+ years,-0.176291224,-0.138549893,-0.210659033
"% Change in Number of Smokers, 1990-2019",62,Russian Federation,2,Female,29,15+ years,0.302287729,0.537109952,0.10007149
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",62,Russian Federation,2,Female,29,15+ years,0.261359382,0.496880332,0.056678499
"% Change in Number of Smokers, 1990-2019",62,Russian Federation,3,Both,29,15+ years,-0.065635994,-0.016045612,-0.109624498
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",62,Russian Federation,3,Both,29,15+ years,-0.089552082,-0.040461258,-0.133938774
"% Change in Number of Smokers, 1990-2019",63,Ukraine,1,Male,29,15+ years,-0.355871558,-0.321414,-0.388732779
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",63,Ukraine,1,Male,29,15+ years,-0.283057792,-0.244111105,-0.321440631
"% Change in Number of Smokers, 1990-2019",63,Ukraine,2,Female,29,15+ years,-0.207011143,-0.027940824,-0.36334595
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",63,Ukraine,2,Female,29,15+ years,-0.078532553,0.124269837,-0.260466413
"% Change in Number of Smokers, 1990-2019",63,Ukraine,3,Both,29,15+ years,-0.324904467,-0.282832257,-0.365704148
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",63,Ukraine,3,Both,29,15+ years,-0.228961279,-0.1775779,-0.278439
"% Change in Number of Smokers, 1990-2019",64,High-income,1,Male,29,15+ years,-0.188270835,-0.173336061,-0.201749334
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",64,High-income,1,Male,29,15+ years,-0.321866803,-0.309599413,-0.333908347
"% Change in Number of Smokers, 1990-2019",64,High-income,2,Female,29,15+ years,-0.156008241,-0.12525224,-0.183022748
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",64,High-income,2,Female,29,15+ years,-0.288487226,-0.261852706,-0.311777685
"% Change in Number of Smokers, 1990-2019",64,High-income,3,Both,29,15+ years,-0.175755128,-0.161661694,-0.189487039
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",64,High-income,3,Both,29,15+ years,-0.305708772,-0.293535674,-0.317759833
"% Change in Number of Smokers, 1990-2019",65,High-income Asia Pacific,1,Male,29,15+ years,-0.291818923,-0.261109662,-0.321972839
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",65,High-income Asia Pacific,1,Male,29,15+ years,-0.369466558,-0.33991935,-0.396643813
"% Change in Number of Smokers, 1990-2019",65,High-income Asia Pacific,2,Female,29,15+ years,-0.203118296,-0.092301389,-0.304262443
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",65,High-income Asia Pacific,2,Female,29,15+ years,-0.256376884,-0.146529231,-0.356851939
"% Change in Number of Smokers, 1990-2019",65,High-income Asia Pacific,3,Both,29,15+ years,-0.276875511,-0.246745611,-0.304914196
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",65,High-income Asia Pacific,3,Both,29,15+ years,-0.338117571,-0.308065765,-0.36428002
"% Change in Number of Smokers, 1990-2019",66,Brunei Darussalam,1,Male,29,15+ years,0.318373166,0.485150435,0.172210774
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",66,Brunei Darussalam,1,Male,29,15+ years,-0.333127828,-0.258311579,-0.403783496
"% Change in Number of Smokers, 1990-2019",66,Brunei Darussalam,2,Female,29,15+ years,0.534056024,1.150923068,0.048715572
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",66,Brunei Darussalam,2,Female,29,15+ years,-0.312913363,-0.077522353,-0.50939082
"% Change in Number of Smokers, 1990-2019",66,Brunei Darussalam,3,Both,29,15+ years,0.341506765,0.501015531,0.200648391
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",66,Brunei Darussalam,3,Both,29,15+ years,-0.339635175,-0.262449059,-0.403123433
"% Change in Number of Smokers, 1990-2019",67,Japan,1,Male,29,15+ years,-0.414297418,-0.380416523,-0.447249147
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",67,Japan,1,Male,29,15+ years,-0.417021504,-0.379545227,-0.45267288
"% Change in Number of Smokers, 1990-2019",67,Japan,2,Female,29,15+ years,-0.252265819,-0.130548186,-0.358890444
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",67,Japan,2,Female,29,15+ years,-0.235591378,-0.096472705,-0.35185717
"% Change in Number of Smokers, 1990-2019",67,Japan,3,Both,29,15+ years,-0.383635786,-0.351328247,-0.416450836
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",67,Japan,3,Both,29,15+ years,-0.375258429,-0.33693542,-0.412351655
"% Change in Number of Smokers, 1990-2019",68,Republic of Korea,1,Male,29,15+ years,0.045605111,0.125401884,-0.029663085
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",68,Republic of Korea,1,Male,29,15+ years,-0.251552311,-0.195371896,-0.303916965
"% Change in Number of Smokers, 1990-2019",68,Republic of Korea,2,Female,29,15+ years,0.072192634,0.481144203,-0.253002891
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",68,Republic of Korea,2,Female,29,15+ years,-0.183869786,0.115168634,-0.428288395
"% Change in Number of Smokers, 1990-2019",68,Republic of Korea,3,Both,29,15+ years,0.046524066,0.131392572,-0.028376727
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",68,Republic of Korea,3,Both,29,15+ years,-0.216434095,-0.152635658,-0.269468074
"% Change in Number of Smokers, 1990-2019",69,Singapore,1,Male,29,15+ years,0.422513657,0.61380086,0.249236146
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",69,Singapore,1,Male,29,15+ years,-0.313364279,-0.224628481,-0.395888016
"% Change in Number of Smokers, 1990-2019",69,Singapore,2,Female,29,15+ years,0.239673392,0.695983331,-0.13243565
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",69,Singapore,2,Female,29,15+ years,-0.326204363,-0.08896425,-0.521129124
"% Change in Number of Smokers, 1990-2019",69,Singapore,3,Both,29,15+ years,0.371227722,0.54784539,0.20896373
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",69,Singapore,3,Both,29,15+ years,-0.308558751,-0.219897029,-0.388437002
"% Change in Number of Smokers, 1990-2019",70,Australasia,1,Male,29,15+ years,-0.250328001,-0.197602458,-0.301764435
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",70,Australasia,1,Male,29,15+ years,-0.461805615,-0.423269577,-0.500033964
"% Change in Number of Smokers, 1990-2019",70,Australasia,2,Female,29,15+ years,-0.215484093,-0.109407179,-0.310661391
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",70,Australasia,2,Female,29,15+ years,-0.464789609,-0.390392151,-0.531200572
"% Change in Number of Smokers, 1990-2019",70,Australasia,3,Both,29,15+ years,-0.234139476,-0.179383762,-0.286164726
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",70,Australasia,3,Both,29,15+ years,-0.463399793,-0.42359742,-0.501489324
"% Change in Number of Smokers, 1990-2019",71,Australia,1,Male,29,15+ years,-0.258502886,-0.195502177,-0.316781924
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",71,Australia,1,Male,29,15+ years,-0.480519327,-0.436670313,-0.524126587
"% Change in Number of Smokers, 1990-2019",71,Australia,2,Female,29,15+ years,-0.204144905,-0.080111762,-0.317677589
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",71,Australia,2,Female,29,15+ years,-0.468480633,-0.380253026,-0.548693585
"% Change in Number of Smokers, 1990-2019",71,Australia,3,Both,29,15+ years,-0.233554987,-0.168348174,-0.295540041
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",71,Australia,3,Both,29,15+ years,-0.475115021,-0.430692396,-0.517720755
"% Change in Number of Smokers, 1990-2019",72,New Zealand,1,Male,29,15+ years,-0.204550286,-0.154509112,-0.250478146
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",72,New Zealand,1,Male,29,15+ years,-0.35556967,-0.31390768,-0.395078662
"% Change in Number of Smokers, 1990-2019",72,New Zealand,2,Female,29,15+ years,-0.269941711,-0.200286009,-0.334086574
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",72,New Zealand,2,Female,29,15+ years,-0.447628188,-0.394722107,-0.498243977
"% Change in Number of Smokers, 1990-2019",72,New Zealand,3,Both,29,15+ years,-0.237064332,-0.197991633,-0.27533571
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",72,New Zealand,3,Both,29,15+ years,-0.401826114,-0.370115549,-0.430979941
"% Change in Number of Smokers, 1990-2019",73,Western Europe,1,Male,29,15+ years,-0.205110037,-0.190599301,-0.220008242
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",73,Western Europe,1,Male,29,15+ years,-0.28760732,-0.273955432,-0.302136964
"% Change in Number of Smokers, 1990-2019",73,Western Europe,2,Female,29,15+ years,-0.153461913,-0.1275027,-0.179742602
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",73,Western Europe,2,Female,29,15+ years,-0.241875704,-0.217665958,-0.267477861
"% Change in Number of Smokers, 1990-2019",73,Western Europe,3,Both,29,15+ years,-0.183111394,-0.168493305,-0.197119901
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",73,Western Europe,3,Both,29,15+ years,-0.264722792,-0.250943462,-0.278231554
"% Change in Number of Smokers, 1990-2019",74,Andorra,1,Male,29,15+ years,0.100302345,0.228244367,-0.009807668
